observation_date,LBSSA19
2004-04-01,71.0
2004-05-01,71.0
2004-06-01,71.0
2004-07-01,71.0
2004-08-01,71.0
2004-09-01,71.0
2004-10-01,70.9
2004-11-01,70.9
2004-12-01,71.0
2005-01-01,71.1
2005-02-01,71.2
2005-03-01,71.3
2005-04-01,71.4
2005-05-01,71.5
2005-06-01,71.6
2005-07-01,71.7
2005-08-01,71.7
2005-09-01,71.8
2005-10-01,71.7
2005-11-01,71.8
2005-12-01,71.8
2006-01-01,71.9
2006-02-01,72.0
2006-03-01,72.1
2006-04-01,72.2
2006-05-01,72.3
2006-06-01,72.3
2006-07-01,72.3
2006-08-01,72.4
2006-09-01,72.4
2006-10-01,72.4
2006-11-01,72.5
2006-12-01,72.4
2007-01-01,72.3
2007-02-01,72.2
2007-03-01,72.1
2007-04-01,72.0
2007-05-01,72.0
2007-06-01,72.0
2007-07-01,72.0
2007-08-01,72.0
2007-09-01,72.0
2007-10-01,72.1
2007-11-01,72.1
2007-12-01,72.2
2008-01-01,72.2
2008-02-01,72.2
2008-03-01,72.3
2008-04-01,72.3
2008-05-01,72.4
2008-06-01,72.5
2008-07-01,72.6
2008-08-01,72.7
2008-09-01,72.7
2008-10-01,72.7
2008-11-01,72.7
2008-12-01,72.7
2009-01-01,72.6
2009-02-01,72.5
2009-03-01,72.4
2009-04-01,72.3
2009-05-01,72.2
2009-06-01,72.1
2009-07-01,71.9
2009-08-01,71.8
2009-09-01,71.5
2009-10-01,71.3
2009-11-01,71.2
2009-12-01,71.1
2010-01-01,71.2
2010-02-01,71.2
2010-03-01,71.3
2010-04-01,71.3
2010-05-01,71.2
2010-06-01,71.0
2010-07-01,70.9
2010-08-01,70.8
2010-09-01,70.7
2010-10-01,70.7
2010-11-01,70.8
2010-12-01,70.8
